"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1,1356894,"BOLSHUNOV Alexander","BOLSHUNOV A","Alexander","Bolshunov","2", 2,23062,73035,ROC,ROC, 1, 1,"1","1:11:32.7","1:11:32.7",4292700,      0,TRUE,FALSE,NA
1,1345702,"YAKIMUSHKIN Ivan","YAKIMUSHKIN I","Ivan","Yakimushkin","3", 3,23062,73035,ROC,ROC, 2, 2,"2","+5.5","1:11:38.2",4298200,   5500,TRUE,FALSE,NA
1,1018376,"KRUEGER Simen Hegstad","KRUEGER SH","Simen Hegstad","Krüger","4", 4,  153, 2221,Norway,NOR, 3, 3,"3","+7.0","1:11:39.7",4299700,   7000,TRUE,FALSE,NA
1,1018349,"MALTSEV Artem","MALTSEV A","Artem","Maltsev","5", 5,23062,73035,ROC,ROC, 4, 4,"4","+10.7","1:11:43.4",4303400,  10700,TRUE,FALSE,NA
1, 703286,"ROETHE Sjur","ROETHE S","Sjur","Røthe","7", 7,  153, 2221,Norway,NOR, 5, 5,"5","+15.8","1:11:48.5",4308500,  15800,TRUE,FALSE,NA
1,1240546,"SPITSOV Denis","SPITSOV D","Denis","Spitsov","6", 6,23062,73035,ROC,ROC, 6, 6,"6","+26.2","1:11:58.9",4318900,  26200,TRUE,FALSE,NA
1,1018352,"PARISSE Clement","PARISSE C","Clément","Parisse","14",14,  144, 2202,France,FRA, 7, 7,"7","+28.8","1:12:01.5",4321500,  28800,TRUE,FALSE,NA
1, 916864,"PATTERSON Scott","PATTERSON S","Scott","Patterson","27",27,    5, 2209,United States,USA, 8, 8,"8","+33.9","1:12:06.6",4326600,  33900,TRUE,FALSE,NA
1,1947612,"POROMAA William","POROMAA W","William","Poromaa","22",22,  154, 2222,Sweden,SWE, 9, 9,"9","+56.4","1:12:29.1",4349100,  56400,TRUE,FALSE,NA
1, 652954,"MANIFICAT Maurice","MANIFICAT M","Maurice","Manificat","15",15,  144, 2202,France,FRA,10,10,"10","+57.6","1:12:30.3",4350300,  57600,TRUE,FALSE,NA
1, 774334,"FURGER Roman","FURGER R","Roman","Furger","20",20,  149, 2213,Switzerland,SUI,11,11,"11","+1:52.1","1:13:24.8",4404800, 112100,TRUE,FALSE,NA
1, 759514,"MUSGRAVE Andrew","MUSGRAVE A","Andrew","Musgrave","12",12,  211, 4058,Great Britain,GBR,12,12,"12","+1:56.6","1:13:29.3",4409300, 116600,TRUE,FALSE,NA
1, 720975,"HOLUND Hans Christer","HOLUND HC","Hans Christer","Holund","8", 8,  153, 2221,Norway,NOR,13,13,"13","+1:57.5","1:13:30.2",4410200, 117500,TRUE,FALSE,NA
1, 650744,"COLOGNA Dario","COLOGNA D","Dario","Cologna","17",17,  149, 2213,Switzerland,SUI,14,14,"14","+1:58.4","1:13:31.1",4411100, 118400,TRUE,FALSE,NA
1,1240753,"LAPIERRE Jules","LAPIERRE J","Jules","Lapierre","31",31,  144, 2202,France,FRA,15,15,"15","+2:17.6","1:13:50.3",4430300, 137600,TRUE,FALSE,NA
1,1135607,"BURMAN Jens","BURMAN J","Jens","Burman","18",18,  154, 2222,Sweden,SWE,16,16,"16","+2:49.6","1:14:22.3",4462300, 169600,TRUE,FALSE,NA
1,1019102,"RUEESCH Jason","RUEESCH J","Jason","Rüesch","25",25,  149, 2213,Switzerland,SUI,17,17,"17","+3:15.7","1:14:48.4",4488400, 195700,TRUE,FALSE,NA
1,1018357,"SALVADORI Giandomenico","SALVADORI G","Giandomenico","Salvadori","28",28,    6, 2210,Italy,ITA,18,18,"18","+3:16.4","1:14:49.1",4489100, 196400,TRUE,FALSE,NA
1, 774326,"HYVARINEN Perttu","HYVARINEN P","Perttu","Hyvärinen","21",21,  161, 2237,Finland,FIN,19,19,"19","+3:16.8","1:14:49.5",4489500, 196800,TRUE,FALSE,NA
1, 916803,"DOBLER Jonas","DOBLER J","Jonas","Dobler","16",16,    2, 2206,Germany,GER,20,20,"20","+3:17.3","1:14:50.0",4490000, 197300,TRUE,FALSE,NA
1, 832911,"ROJO Imanol","ROJO I","Imanol","Rojo","33",33,  145, 2203,Spain,ESP,21,21,"21","+3:17.8","1:14:50.5",4490500, 197800,TRUE,FALSE,NA
1, 848503,"PRALONG Candide","PRALONG C","Candide","Pralong","34",34,  149, 2213,Switzerland,SUI,22,22,"22","+3:17.8","1:14:50.5",4490500, 197800,TRUE,FALSE,NA
1, 840398,"EINARSSON Snorri","EINARSSON S","Snorri","Einarsson","38",38,  226, 4344,Iceland,ISL,23,23,"23","+3:18.9","1:14:51.6",4491600, 198900,TRUE,FALSE,NA
1,1356925,"BABA Naoto","BABA N","Naoto","Baba","26",26,   18, 2241,Japan,JPN,24,24,"24","+3:20.0","1:14:52.7",4492700, 200000,TRUE,FALSE,NA
1,1240630,"ESTEVE Ireneu","ESTEVE I","Ireneu","Esteve","24",24,  155, 2227,Andorra,AND,25,25,"25","+3:37.1","1:15:09.8",4509800, 217100,TRUE,FALSE,NA
1, 916819,"NOTZ Florian","NOTZ F","Florian","Notz","19",19,    2, 2206,Germany,GER,26,26,"26","+3:59.5","1:15:32.2",4532200, 239500,TRUE,FALSE,NA
1,2079624,"LEVEILLE Olivier","LEVEILLE O","Olivier","Leveille","46",46,  159, 2231,Canada,CAN,27,27,"27","+4:21.6","1:15:54.3",4554300, 261600,TRUE,FALSE,NA
1,1475650,"LINDHOLM Remi","LINDHOLM R","Remi","Lindholm","37",37,  161, 2237,Finland,FIN,28,28,"28","+4:22.9","1:15:55.6",4555600, 262900,TRUE,FALSE,NA
