"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","n_Position1","n_Position2","n_Position3","n_Position4","n_PersonID1","n_PersonID2","n_PersonID3","n_PersonID4","c_Person1","c_Person2","c_Person3","c_Person4","c_PersonFirstName1","c_PersonFirstName2","c_PersonFirstName3","c_PersonFirstName4","c_PersonLastName1","c_PersonLastName2","c_PersonLastName3","c_PersonLastName4","c_PersonShort1","c_PersonShort2","c_PersonShort3","c_PersonShort4","c_Bib1","c_Bib2","c_Bib3","c_Bib4"
4,475657,"ROC","ROC","ROC","2", 2,23062,73035,ROC,ROC, 1, 1,"1","1:54:50.7","1:54:50.7",6890700,     0,TRUE,FALSE,"1","2","3","4","1135612","1356894","1240546","916810","CHERVOTKIN Alexey","BOLSHUNOV Alexander","SPITSOV Denis","USTIUGOV Sergey","Alexey","Alexander","Denis","Sergey","Chervotkin","Bolshunov","Spitsov","Ustiugov","CHERVOTKIN A","BOLSHUNOV A","SPITSOV D","USTIUGOV S","2-1","2-2","2-3","2-4"
4,   672,"Norway","NOR","Norway","1", 1,  153, 2221,Norway,NOR, 2, 2,"2","+1:07.2","1:55:57.9",6957900, 67200,TRUE,FALSE,"1","2","3","4","916812","840002","720975","1356911","IVERSEN Emil","GOLBERG Paal","HOLUND Hans Christer","KLAEBO Johannes Hoesflot","Emil","Pål","Hans Christer","Johannes Høsflot","Iversen","Golberg","Holund","Klæbo","IVERSEN E","GOLBERG P","HOLUND HC","KLAEBO JH","1-1","1-2","1-3","1-4"
4,  2598,"France","FRA","France","3", 3,  144, 2202,France,FRA, 3, 3,"3","+1:16.4","1:56:07.1",6967100, 76400,TRUE,FALSE,"1","2","3","4","1023364","1478678","1018352","652954","JOUVE Richard","LAPALUS Hugo","PARISSE Clement","MANIFICAT Maurice","Richard","Hugo","Clément","Maurice","Jouve","Lapalus","Parisse","Manificat","JOUVE R","LAPALUS H","PARISSE C","MANIFICAT M","3-1","3-2","3-3","3-4"
4,   258,"Sweden","SWE","Sweden","4", 4,  154, 2222,Sweden,SWE, 4, 4,"4","+2:09.7","1:57:00.4",7020400,129700,TRUE,FALSE,"1","2","3","4","1135252","1947612","1135607","1593556","SVENSSON Oskar","POROMAA William","BURMAN Jens","HAEGGSTROEM Johan","Oskar","William","Jens","Johan","Svensson","Poromaa","Burman","Häggström","SVENSSON O","POROMAA W","BURMAN J","HAEGGSTROEM J","4-1","4-2","4-3","4-4"
4,  1236,"Germany","GER","Germany","7", 7,    2, 2206,Germany,GER, 5, 5,"5","+2:55.8","1:57:46.5",7066500,175800,TRUE,FALSE,"1","2","3","4","1240758","1767230","916819","848491","BRUGGER Janosch","MOCH Friedrich","NOTZ Florian","BOEGL Lucas","Janosch","Friedrich","Florian","Lucas","Brugger","Moch","Notz","Bögl","BRUGGER J","MOCH F","NOTZ F","BOEGL L","7-1","7-2","7-3","7-4"
4,   740,"Finland","FIN","Finland","6", 6,  161, 2237,Finland,FIN, 6, 6,"6","+4:37.9","1:59:28.6",7168600,277900,TRUE,FALSE,"1","2","3","4","980314","839516","774326","1240529","HAKOLA Ristomatti","NISKANEN Iivo","HYVARINEN Perttu","MAKI Joni","Ristomatti","Iivo","Perttu","Joni","Hakola","Niskanen","Hyvärinen","Mäki","HAKOLA R","NISKANEN I","HYVARINEN P","MAKI J","6-1","6-2","6-3","6-4"
4,   521,"Switzerland","SUI","Switzerland","5", 5,  149, 2213,Switzerland,SUI, 7, 7,"7","+5:22.6","2:00:13.3",7213300,322600,TRUE,FALSE,"1","2","3","4","650744","724224","848503","774334","COLOGNA Dario","BAUMANN Jonas","PRALONG Candide","FURGER Roman","Dario","Jonas","Candide","Roman","Cologna","Baumann","Pralong","Furger","COLOGNA D","BAUMANN J","PRALONG C","FURGER R","5-1","5-2","5-3","5-4"
4,   855,"Italy","ITA","Italy","14",14,    6, 2210,Italy,ITA, 8, 8,"8","+5:25.9","2:00:16.6",7216600,325900,TRUE,FALSE,"1","2","3","4","774322","916856","1018357","1718978","PELLEGRINO Federico","DE FABIANI Francesco","SALVADORI Giandomenico","GRAZ Davide","Federico","Francesco","Giandomenico","Davide","Pellegrino","De Fabiani","Salvadori","Graz","PELLEGRINO F","DE FABIANI F","SALVADORI G","GRAZ D","14-1","14-2","14-3","14-4"
4,   773,"United States","USA","United States","8", 8,    5, 2209,United States,USA, 9, 9,"9","+8:05.6","2:02:56.3",7376300,485600,TRUE,FALSE,"1","2","3","4","1765973","916864","1765929","1718961","JAGER Luke","PATTERSON Scott","SCHUMACHER Gus","BOLGER Kevin","Luke","Scott","Gus","Kevin","Jager","Patterson","Schumacher","Bolger","JAGER L","PATTERSON S","SCHUMACHER G","BOLGER K","8-1","8-2","8-3","8-4"
4,  1628,"Japan","JPN","Japan","9", 9,   18, 2241,Japan,JPN,10,10,"10","+8:10.8","2:03:01.5",7381500,490800,TRUE,FALSE,"1","2","3","4","1765971","848257","1356925","1625464","HIROSE Ryo","MIYAZAWA Hiroyuki","BABA Naoto","YAMASHITA Haruki","Ryo","Hiroyuki","Naoto","Haruki","Hirose","Miyazawa","Baba","Yamashita","HIROSE R","MIYAZAWA H","BABA N","YAMASHITA H","9-1","9-2","9-3","9-4"
