"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110"
"1","1","1","833389","1776942","1776936","DE LAAT Itzhak","AKAR Furkan","HEO Andrew","DE LAAT I","AKAR F","HEO A","Itzhak","Furkan","Andrew","de Laat","Akar","Heo","5","32","19","2","3","1","1","33","5","2201","2786","2209","Netherlands","Turkey","United States","NED","TUR","USA","1","2","3","1","2","3","1","2","3","1:35.925","+0.127","+0.215","1:35.925","1:36.052","1:36.140","95925","96052","96140","0","127","215","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","1","1","1247238","1719410","1146451","ZIWEI Ren","LI Wenlong","LIU Shaoang","ZIWEI R","LI W","LIU S","Ziwei","Wenlong","Shaoang","Ren","Li","Liu","54","94","1","3","4","5","26","26","28","2770","2770","2776","China","China","Hungary","CHN","CHN","HUN","1","2","3","1","2","3","1","2","3","1:26.768","+3.149","+8.925","1:26.768","1:29.917","1:35.693","86768","89917","95693","0","3149","8925","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","1","1","833344","921624","DAJING Wu","LIU Shaolin Sandor","DAJING W","LIU SS","Dajing","Sandor","Wu","Liu Shaolin","48","2","2","1","26","28","2770","2776","China","Hungary","CHN","HUN","4",NA,"4","5","4",NA,"+16.169","YC","1:42.937","YC","102937",NA,"16169",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA,NA,NA,"YC"
