"Event","Match_ID","Comp1","Comp2"
"Mixed Doubles Tournament",746344,"Australia","United States"
"Mixed Doubles Tournament",746359,"Sweden","Great Britain"
"Mixed Doubles Tournament",746369,"China","Switzerland"
"Mixed Doubles Tournament",746336,"Norway","Czech Republic"
"Mixed Doubles Tournament",746379,"Great Britain","Canada"
"Mixed Doubles Tournament",746348,"Australia","China"
"Mixed Doubles Tournament",746351,"United States","Italy"
"Mixed Doubles Tournament",746353,"Sweden","Czech Republic"
"Mixed Doubles Tournament",746350,"United States","Norway"
"Mixed Doubles Tournament",746371,"Italy","Switzerland"
"Mixed Doubles Tournament",746362,"Czech Republic","Australia"
"Mixed Doubles Tournament",746367,"Norway","Canada"
"Mixed Doubles Tournament",746333,"Switzerland","Great Britain"
"Mixed Doubles Tournament",746334,"China","Sweden"
"Mixed Doubles Tournament",746360,"Sweden","Australia"
"Mixed Doubles Tournament",746340,"Canada","Switzerland"
"Mixed Doubles Tournament",746372,"Italy","Norway"
"Mixed Doubles Tournament",746376,"China","Canada"
"Mixed Doubles Tournament",746374,"Great Britain","Australia"
"Mixed Doubles Tournament",746358,"Sweden","United States"
"Mixed Doubles Tournament",746381,"Czech Republic","Italy"
"Mixed Doubles Tournament",746357,"Australia","Norway"
"Mixed Doubles Tournament",746346,"Switzerland","Sweden"
"Mixed Doubles Tournament",746373,"Czech Republic","Great Britain"
"Mixed Doubles Tournament",746380,"Sweden","Canada"
"Mixed Doubles Tournament",746364,"Australia","Italy"
"Mixed Doubles Tournament",746342,"China","United States"
"Mixed Doubles Tournament",746341,"Czech Republic","Switzerland"
"Mixed Doubles Tournament",746366,"United States","Canada"
"Mixed Doubles Tournament",746352,"Norway","China"
"Mixed Doubles Tournament",746355,"Great Britain","Italy"
"Mixed Doubles Tournament",746347,"Great Britain","China"
"Mixed Doubles Tournament",746343,"United States","Czech Republic"
"Mixed Doubles Tournament",746378,"Australia","Switzerland"
"Mixed Doubles Tournament",746377,"Italy","China"
"Mixed Doubles Tournament",746368,"Norway","Sweden"
"Mixed Doubles Tournament",746335,"Canada","Czech Republic"
"Mixed Doubles Tournament",746356,"Norway","Great Britain"
"Mixed Doubles Tournament",746338,"Switzerland","United States"
