"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","b_Completed","b_Upcoming","c_ODF_IRM"
1,1351898,"MAZURCHUK Dmytro","MAZURCHUK D","Dmytro","Mazurchuk","33",33,   13, 2232,Ukraine,UKR,32,32,"32","+4:07.1","31:20.4",1880400,247100,TRUE,FALSE,NA
1, 602822,"PITTIN Alessandro","PITTIN A","Alessandro","Pittin","43",43,    6, 2210,Italy,ITA,33,33,"33","+4:18.5","31:31.8",1891800,258500,TRUE,FALSE,NA
1,1136198,"GOOD Jasper","GOOD J","Jasper","Good","36",36,    5, 2209,United States,USA,34,34,"34","+4:19.6","31:32.9",1892900,259600,TRUE,FALSE,NA
1,1019258,"KUPCZAK Szczepan","KUPCZAK S","Szczepan","Kupczak","30",30,  150, 2214,Poland,POL,35,35,"35","+4:46.5","31:59.8",1919800,286500,TRUE,FALSE,NA
1,1352331,"VRHOVNIK Vid","VRHOVNIK V","Vid","Vrhovnik","34",34,   30, 2783,Slovenia,SLO,36,36,"36","+4:48.5","32:01.8",1921800,288500,TRUE,FALSE,NA
1,1766437,"NIITTYKOSKI Otto","NIITTYKOSKI O","Otto","Niittykoski","37",37,  161, 2237,Finland,FIN,37,37,"37","+4:49.0","32:02.3",1922300,289000,TRUE,FALSE,NA
1, 835860,"COSTA Samuel","COSTA S","Samuel","Costa","40",40,    6, 2210,Italy,ITA,38,38,"38","+5:09.0","32:22.3",1942300,309000,TRUE,FALSE,NA
1,1555368,"BORTOLAS Iacopo","BORTOLAS I","Iacopo","Bortolas","29",29,    6, 2210,Italy,ITA,39,39,"39","+5:16.3","32:29.6",1949600,316300,TRUE,FALSE,NA
1,2080220,"BLONDEAU Gael","BLONDEAU G","Gael","Blondeau","41",41,  144, 2202,France,FRA,40,40,"40","+5:29.5","32:42.8",1962800,329500,TRUE,FALSE,NA
1,1018187,"BARKOV Viacheslav","BARKOV V","Viacheslav","Barkov","44",44,23062,73035,ROC,ROC,41,41,"41","+5:43.6","32:56.9",1976900,343600,TRUE,FALSE,NA
1,1948057,"GALUNIN Artem","GALUNIN A","Artem","Galunin","42",42,23062,73035,ROC,ROC,42,42,"42","+6:08.9","33:22.2",2002200,368900,TRUE,FALSE,NA
1,1356949,"RAKPAROV Chingiz","RAKPAROV C","Chingiz","Rakparov","38",38,  160, 2236,Kazakhstan,KAZ,43,43,"43","+7:35.2","34:48.5",2088500,455200,TRUE,FALSE,NA
1,1135377,"PARK Jeun","PARK J","Jeun","Park","39",39,  106, 4391,South Korea,KOR,44,44,"44","+7:43.2","34:56.5",2096500,463200,TRUE,FALSE,NA
1,1766430,"SZCZECHOWICZ Andrzej","SZCZECHOWICZ A","Andrzej","Szczechowicz","45",45,  150, 2214,Poland,POL,45,45,"45","+8:35.2","35:48.5",2148500,515200,TRUE,FALSE,NA
1,1018175,"MASTIEV Samir","MASTIEV S","Samir","Mastiev","48",48,23062,73035,ROC,ROC,46,46,"46","+8:54.1","36:07.4",2167400,534100,TRUE,FALSE,NA
1,1955622,"ZHAO Jiawen","ZHAO J","Jiawen","Zhao","46",46,   26, 2770,China,CHN,47,47,"47","+9:27.8","36:41.1",2201100,567800,TRUE,FALSE,NA
1,1555539,"VINOGRADOVS Markuss","VINOGRADOVS M","Markuss","Vinogradovs","47",47,    9, 2218,Latvia,LAT,NA,48,NA,"DNF","DNF",NA,NA,TRUE,FALSE,"DNF"
