"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1, 649762,"LUDWIG Johannes","LUDWIG J","Johannes","Ludwig","4",20,    2, 2206,Germany,GER, 1, 1,"1","57.191","57.191",57191,   0,"132.7",TRUE,FALSE,1518048020,"456710:21:16",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 649764,"KINDL Wolfgang","KINDL W","Wolfgang","Kindl","1",19,  151, 2219,Austria,AUT, 2, 2,"2","+0.047","57.238",57238,  47,"132.9",TRUE,FALSE,1518048019,"456710:05:26",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 835618,"FISCHNALLER Dominik","FISCHNALLER D","Dominik","Fischnaller","10",18,    6, 2210,Italy,ITA, 3, 3,"3","+0.229","57.420",57420, 229,"133.0",TRUE,FALSE,1518048018,"456710:05:11",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1470232,"LANGENHAN Max","LANGENHAN M","Max","Langenhan","5",14,    2, 2206,Germany,GER, 4, 4,"4","+0.238","57.429",57429, 238,"132.5",TRUE,FALSE,1518048014,"456709:42:17",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1240582,"GLEIRSCHER Nico","GLEIRSCHER N","Nico","Gleirscher","6", 6,  151, 2219,Austria,AUT, 5, 5,"5","+0.261","57.452",57452, 261,"132.6",TRUE,FALSE,1518048006,"456710:20:48",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 651990,"LOCH Felix","LOCH F","Felix","Loch","2",16,    2, 2206,Germany,GER, 6, 6,"6","+0.294","57.485",57485, 294,"132.0",TRUE,FALSE,1518048016,"456709:46:48",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1627659,"BERZINS Gints","BERZINS G","Gints","Berzins","7",15,    9, 2218,Latvia,LAT, 7, 7,"7","+0.379","57.570",57570, 379,"133.5",TRUE,FALSE,1518048015,"456709:44:41",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1132687,"REPILOV Roman","REPILOV R","Roman","Repilov","12",10,23062,73035,ROC,ROC, 8, 8,"8","+0.456","57.647",57647, 456,"131.6",TRUE,FALSE,1518048010,"456709:33:16",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1240563,"APARJODS Kristers","APARJODS K","Kristers","Aparjods","3",17,    9, 2218,Latvia,LAT, 9, 9,"9","+0.502","57.693",57693, 502,"131.9",TRUE,FALSE,1518048017,"456709:49:03",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 599693,"MAZDZER Chris","MAZDZER C","Chris","Mazdzer","18",13,    5, 2209,United States,USA,10,10,"10","+0.588","57.779",57779, 588,"131.2",TRUE,FALSE,1518048013,"456709:40:09",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 707950,"PAVLICHENKO Semen","PAVLICHENKO S","Semen","Pavlichenko","8",12,23062,73035,ROC,ROC,11,11,"11","+0.602","57.793",57793, 602,"131.6",TRUE,FALSE,1518048012,"456709:37:55",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1023056,"FERLAZZO Alex","FERLAZZO A","Alex","Ferlazzo","22", 4,  157, 2229,Australia,AUS,12,12,"12","+0.696","57.887",57887, 696,"130.9",TRUE,FALSE,1518048004,"456709:21:18",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1017118,"WEST Tucker","WEST T","Tucker","West","21", 9,    5, 2209,United States,USA,13,13,"13","+0.725","57.916",57916, 725,"123.3",TRUE,FALSE,1518048009,"456709:31:28",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1433602,"FELDERER Leon","FELDERER L","Leon","Felderer","24",11,    6, 2210,Italy,ITA,14,14,"14","+0.769","57.960",57960, 769,"139.7",TRUE,FALSE,1518048011,"456709:35:37",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1017072,"GORBATSEVICH Aleksandr","GORBATSEVICH A","Aleksandr","Gorbatsevich","16", 7,23062,73035,ROC,ROC,15,15,"15","+0.852","58.043",58043, 852,"130.4",TRUE,FALSE,1518048007,"456709:27:26",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1240592,"WATTS Reid","WATTS R","Reid","Watts","14", 5,  159, 2231,Canada,CAN,16,16,"16","+0.874","58.065",58065, 874,"130.7",TRUE,FALSE,1518048005,"456710:20:40",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1008190,"DARZNIEKS Arturs","DARZNIEKS A","Arturs","Darznieks","23", 3,    9, 2218,Latvia,LAT,17,17,"17","+1.050","58.241",58241,1050,"129.9",TRUE,FALSE,1518048003,"456709:19:21",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
