"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 649762,"LUDWIG Johannes","LUDWIG J","Johannes","Ludwig","4", 4,    2, 2206,Germany,GER, 1, 1,"1","57.063","57.063",57063,   0,"132.9",TRUE,FALSE,1518048004,"456684:21:42",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 649764,"KINDL Wolfgang","KINDL W","Wolfgang","Kindl","1", 1,  151, 2219,Austria,AUT, 2, 2,"2","+0.047","57.110",57110,  47,"134.6",TRUE,FALSE,1518048001,"456683:10:10",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 835618,"FISCHNALLER Dominik","FISCHNALLER D","Dominik","Fischnaller","10",10,    6, 2210,Italy,ITA, 3, 3,"3","+0.298","57.361",57361, 298,"127.7",TRUE,FALSE,1518048010,"456684:21:12",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1240563,"APARJODS Kristers","APARJODS K","Kristers","Aparjods","3", 3,    9, 2218,Latvia,LAT, 4, 4,"4","+0.301","57.364",57364, 301,"132.0",TRUE,FALSE,1518048003,"456683:14:13",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 651990,"LOCH Felix","LOCH F","Felix","Loch","2", 2,    2, 2206,Germany,GER, 5, 5,"5","+0.320","57.383",57383, 320,"132.0",TRUE,FALSE,1518048002,"456684:20:49",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 835619,"GLEIRSCHER David","GLEIRSCHER D","David","Gleirscher","11",11,  151, 2219,Austria,AUT, 6, 6,"6","+0.344","57.407",57407, 344,"133.3",TRUE,FALSE,1518048011,"456683:28:26",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1627659,"BERZINS Gints","BERZINS G","Gints","Berzins","7", 7,    9, 2218,Latvia,LAT, 7, 7,"7","+0.351","57.414",57414, 351,"134.8",TRUE,FALSE,1518048007,"456683:22:19",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1132687,"REPILOV Roman","REPILOV R","Roman","Repilov","12",12,23062,73035,ROC,ROC, 8, 8,"8","+0.531","57.594",57594, 531,"132.3",TRUE,FALSE,1518048012,"456683:30:20",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1470232,"LANGENHAN Max","LANGENHAN M","Max","Langenhan","5", 5,    2, 2206,Germany,GER, 9, 9,"9","+0.543","57.606",57606, 543,"131.9",TRUE,FALSE,1518048005,"456683:18:11",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 599693,"MAZDZER Chris","MAZDZER C","Chris","Mazdzer","18",18,    5, 2209,United States,USA,10,10,"10","+0.717","57.780",57780, 717,"124.1",TRUE,FALSE,1518048018,"456683:43:29",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 707950,"PAVLICHENKO Semen","PAVLICHENKO S","Semen","Pavlichenko","8", 8,23062,73035,ROC,ROC,11,11,"11","+0.723","57.786",57786, 723,"131.6",TRUE,FALSE,1518048008,"456683:24:21",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1433602,"FELDERER Leon","FELDERER L","Leon","Felderer","24",24,    6, 2210,Italy,ITA,12,12,"12","+0.751","57.814",57814, 751,"134.8",TRUE,FALSE,1518048024,"456683:55:44",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1240567,"GUSTAFSON Jonathan","GUSTAFSON J","Jonathan","Gustafson","19",19,    5, 2209,United States,USA,13,13,"13","+0.782","57.845",57845, 782,"132.0",TRUE,FALSE,1518048019,"456683:45:30",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1240592,"WATTS Reid","WATTS R","Reid","Watts","14",14,  159, 2231,Canada,CAN,14,14,"14","+0.986","58.049",58049, 986,"126.8",TRUE,FALSE,1518048014,"456683:35:31",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1017118,"WEST Tucker","WEST T","Tucker","West","21",21,    5, 2209,United States,USA,15,15,"15","+1.016","58.079",58079,1016,"130.4",TRUE,FALSE,1518048021,"456683:49:40",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1017072,"GORBATSEVICH Aleksandr","GORBATSEVICH A","Aleksandr","Gorbatsevich","16",16,23062,73035,ROC,ROC,16,16,"16","+1.076","58.139",58139,1076,"123.9",TRUE,FALSE,1518048016,"456683:39:38",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1008190,"DARZNIEKS Arturs","DARZNIEKS A","Arturs","Darznieks","23",23,    9, 2218,Latvia,LAT,17,17,"17","+1.103","58.166",58166,1103,"130.3",TRUE,FALSE,1518048023,"456683:53:42",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 428167,"NINIS Jozef","NINIS J","Jozef","Ninis","15",15,   14, 2233,Slovakia,SVK,18,18,"18","+1.142","58.205",58205,1142,"131.0",TRUE,FALSE,1518048015,"456683:37:36",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1023056,"FERLAZZO Alex","FERLAZZO A","Alex","Ferlazzo","22",22,  157, 2229,Australia,AUS,19,19,"19","+1.153","58.216",58216,1153,"131.6",TRUE,FALSE,1518048022,"456683:51:36",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1, 656628,"CRETU Valentin","CRETU V","Valentin","Cretu","17",17,  164, 2244,Romania,ROU,20,20,"20","+1.286","58.349",58349,1286,"130.4",TRUE,FALSE,1518048017,"456683:41:36",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
1,1240587,"KOHALA Svante","KOHALA S","Svante","Kohala","34",34,  154, 2222,Sweden,SWE,21,21,"21","+1.454","58.517",58517,1454,"129.6",TRUE,FALSE,1518048034,"456684:15:45",21,"https://stream.nbcolympics.com/mens-singles-luge-run-1-2",NA
