"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL","c_ODF_IRM"
1, 655668,"GEISENBERGER Natalie","GEISENBERGER N","Natalie","Geisenberger","1", 1,    2, 2206,Germany,GER, 1, 1,"1","58.226","58.226",58226,   0,"128.4",TRUE,FALSE,1518048001,"456757:01:08",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1593834,"BERREITER Anna","BERREITER A","Anna","Berreiter","3", 2,    2, 2206,Germany,GER, 2, 2,"2","+0.122","58.348",58348, 122,"126.7",TRUE,FALSE,1518048002,"456755:56:21",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1, 759541,"IVANOVA Tatyana","IVANOVA T","Tatyana","Ivanova","6", 3,23062,73035,ROC,ROC, 3, 3,"3","+0.235","58.461",58461, 235,"127.4",TRUE,FALSE,1518048003,"456755:58:07",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1593832,"PROCK Hannah","PROCK H","Hannah","Prock","12", 4,  151, 2219,Austria,AUT, 4, 4,"4","+0.306","58.532",58532, 306,"122.1",TRUE,FALSE,1518048004,"456755:59:54",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1240565,"EGLE Madeleine","EGLE M","Madeleine","Egle","2", 7,  151, 2219,Austria,AUT, 5, 5,"5","+0.316","58.542",58542, 316,"118.9",TRUE,FALSE,1518048007,"456757:00:32",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1593836,"SCHULTE Lisa","SCHULTE L","Lisa","Schulte","10", 5,  151, 2219,Austria,AUT, 6, 6,"6","+0.420","58.646",58646, 420,"126.2",TRUE,FALSE,1518048005,"456756:01:21",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1240931,"TAUBITZ Julia","TAUBITZ J","Julia","Taubitz","5",14,    2, 2206,Germany,GER, 7, 7,"7","+0.429","58.655",58655, 429,"119.9",TRUE,FALSE,1518048014,"456756:25:28",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1474748,"FARQUHARSON Ashley","FARQUHARSON A","Ashley","Farquharson","24",18,    5, 2209,United States,USA, 8, 8,"8","+0.542","58.768",58768, 542,"126.1",TRUE,FALSE,1518048018,"456756:37:48",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1023433,"DEMCHENKO Victoria","DEMCHENKO V","Victoria","Demchenko","11",31,23062,73035,ROC,ROC, 9, 9,"9","+0.612","58.838",58838, 612,"124.7",TRUE,FALSE,1518048031,"456757:03:40",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1023092,"VOTTER Andrea","VOTTER A","Andrea","Vötter","8",12,    6, 2210,Italy,ITA,10,10,"10","+0.626","58.852",58852, 626,"119.6",TRUE,FALSE,1518048012,"456756:20:28",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1, 823623,"TIRUMA Eliza","TIRUMA E","Eliza","Tiruma","9", 6,    9, 2218,Latvia,LAT,11,11,"11","+0.639","58.865",58865, 639,"130.9",TRUE,FALSE,1518048006,"456756:02:54",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1, 767945,"SWEENEY Emily","SWEENEY E","Emily","Sweeney","14",28,    5, 2209,United States,USA,12,12,"12","+0.656","58.882",58882, 656,"125.8",TRUE,FALSE,1518048028,"456756:59:00",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
1,1769493,"ELLIS Trinity","ELLIS T","Trinity","Ellis","15",13,  159, 2231,Canada,CAN,13,13,"13","+0.662","58.888",58888, 662,"125.4",TRUE,FALSE,1518048013,"456756:22:18",230,"https://stream.nbcolympics.com/womens-singles-luge-run-3-4",NA
