"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1, 649762,"LUDWIG Johannes","LUDWIG J","Johannes","Ludwig","4", 1,    2, 2206,Germany,GER, 1, 1,"1","57.043","57.043",57043,   0,"133.3",TRUE,FALSE,1518048001,"456708:45:31",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 649764,"KINDL Wolfgang","KINDL W","Wolfgang","Kindl","1", 2,  151, 2219,Austria,AUT, 2, 2,"2","+0.074","57.117",57117,  74,"133.3",TRUE,FALSE,1518048002,"456707:32:08",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1240582,"GLEIRSCHER Nico","GLEIRSCHER N","Nico","Gleirscher","6",21,  151, 2219,Austria,AUT, 3, 3,"3","+0.327","57.370",57370, 327,"132.2",TRUE,FALSE,1518048021,"456708:10:30",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1240563,"APARJODS Kristers","APARJODS K","Kristers","Aparjods","3", 5,    9, 2218,Latvia,LAT, 4, 4,"4","+0.356","57.399",57399, 356,"131.9",TRUE,FALSE,1518048005,"456707:38:09",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 835618,"FISCHNALLER Dominik","FISCHNALLER D","Dominik","Fischnaller","10", 3,    6, 2210,Italy,ITA, 5, 5,"5","+0.418","57.461",57461, 418,"132.6",TRUE,FALSE,1518048003,"456708:44:53",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1627659,"BERZINS Gints","BERZINS G","Gints","Berzins","7", 6,    9, 2218,Latvia,LAT, 6, 6,"6","+0.437","57.480",57480, 437,"132.7",TRUE,FALSE,1518048006,"456707:40:18",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 651990,"LOCH Felix","LOCH F","Felix","Loch","2", 4,    2, 2206,Germany,GER, 7, 7,"7","+0.467","57.510",57510, 467,"131.7",TRUE,FALSE,1518048004,"456707:36:09",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1470232,"LANGENHAN Max","LANGENHAN M","Max","Langenhan","5", 7,    2, 2206,Germany,GER, 8, 8,"8","+0.478","57.521",57521, 478,"131.6",TRUE,FALSE,1518048007,"456707:42:12",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1,1132687,"REPILOV Roman","REPILOV R","Roman","Repilov","12",13,23062,73035,ROC,ROC, 9, 9,"9","+0.671","57.714",57714, 671,"133.7",TRUE,FALSE,1518048013,"456707:54:19",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
1, 599693,"MAZDZER Chris","MAZDZER C","Chris","Mazdzer","18", 9,    5, 2209,United States,USA,10,10,"10","+0.736","57.779",57779, 736,"124.6",TRUE,FALSE,1518048009,"456707:46:23",20,"https://stream.nbcolympics.com/mens-singles-luge-run-3-4"
