"Event","MatchID"
"Men's 15km Individual",1937870
"Men's 30km Skiathlon",1937862
"Men's 4x10km Relay",1937868
"Men's 50km Mass Start",1937872
"Men's Individual Sprint",1937864
"Men's Team Sprint",1937866
"Women's 10km Individual",1937871
"Women's 15km Skiathlon",1937863
"Women's 30km Mass Start",1937873
"Women's 4x5km Relay",1937869
"Women's Individual Sprint",1937865
"Women's Team Sprint",1937867
