"Event","MatchID"
"Men's Aerials",1961078
"Men's Big Air",1961083
"Men's Halfpipe",1961081
"Men's Moguls",1961079
"Men's Ski Cross",1961080
"Men's Slopestyle",1961082
"Mixed Team Aerials",1961090
"Women's Aerials",1961084
"Women's Big Air",1961089
"Women's Halfpipe",1961087
"Women's Moguls",1961085
"Women's Ski Cross",1961086
"Women's Slopestyle",1961088
