"Event","MatchID"
"Men's 1000m",1939945
"Men's 1500m",1939946
"Men's 5000m Relay",1939947
"Men's 500m",1939944
"Mixed Team Relay",1939952
"Women's 1000m",1939949
"Women's 1500m",1939950
"Women's 3000m Relay",1939951
"Women's 500m",1939948
