"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1023440,"BUZZI Raffaele","BUZZI R","Raffaele","Buzzi","25",25,    6, 2210,Italy,ITA,21,21,"21","98.7","98.7", 98700,"124.0","+2:44",TRUE,FALSE,1518048025,"456920:22:57",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1018185,"PORTYK Tomas","PORTYK T","Tomáš","Portyk","28",28,   17, 2240,Czech Republic,CZE,22,22,"22","97.8","97.8", 97800,"128.0","+2:48",TRUE,FALSE,1518048028,"456920:25:37",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1352114,"VYTRVAL Jan","VYTRVAL J","Jan","Vytrval","16",16,   17, 2240,Czech Republic,CZE,23,23,"23","97.0","97.0", 97000,"125.0","+2:51",TRUE,FALSE,1518048016,"456920:13:26",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1240650,"MUHLETHALER Laurent","MUHLETHALER L","Laurent","Mühlethaler","31",31,  144, 2202,France,FRA,24,24,"24","96.9","96.9", 96900,"123.5","+2:52",TRUE,FALSE,1518048031,"456920:30:12",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1018163,"HEROLA Ilkka","HEROLA I","Ilkka","Herola","37",37,  161, 2237,Finland,FIN,25,25,"25","95.9","95.9", 95900,"117.5","+2:56",TRUE,FALSE,1518048037,"456920:37:16",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1221146,"HIRVONEN Eero","HIRVONEN E","Eero","Hirvonen","29",29,  161, 2237,Finland,FIN,26,26,"26","94.6","94.6", 94600,"123.0","+3:01",TRUE,FALSE,1518048029,"456920:28:05",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 762492,"WATABE Yoshito","WATABE Y","Yoshito","Watabe","32",32,   18, 2241,Japan,JPN,27,27,"27","94.4","94.4", 94400,"118.0","+3:02",TRUE,FALSE,1518048032,"456920:31:19",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1136180,"MAEKIAHO Arttu","MAEKIAHO A","Arttu","Mäkiaho","24",24,  161, 2237,Finland,FIN,28,28,"28","87.9","87.9", 87900,"121.0","+3:28",TRUE,FALSE,1518048024,"456920:21:55",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1555368,"BORTOLAS Iacopo","BORTOLAS I","Iacopo","Bortolas","8", 8,    6, 2210,Italy,ITA,29,29,"29","87.7","87.7", 87700,"121.5","+3:28",TRUE,FALSE,1518048008,"456920:06:25",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1019258,"KUPCZAK Szczepan","KUPCZAK S","Szczepan","Kupczak","13",13,  150, 2214,Poland,POL,30,30,"30","86.3","86.3", 86300,"121.5","+3:34",TRUE,FALSE,1518048013,"456920:10:44",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1240647,"DANEK Lukas","DANEK L","Lukáš","Danek","18",18,   17, 2240,Czech Republic,CZE,31,31,"31","86.1","86.1", 86100,"117.0","+3:35",TRUE,FALSE,1518048018,"456920:15:13",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 601192,"NAGAI Hideaki","NAGAI H","Hideaki","Nagai","30",30,   18, 2241,Japan,JPN,32,32,"32","83.7","83.7", 83700,"117.0","+3:44",TRUE,FALSE,1518048030,"456920:29:20",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1351898,"MAZURCHUK Dmytro","MAZURCHUK D","Dmytro","Mazurchuk","11",11,   13, 2232,Ukraine,UKR,33,33,"33","83.5","83.5", 83500,"116.0","+3:45",TRUE,FALSE,1518048011,"456920:09:02",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1,1352331,"VRHOVNIK Vid","VRHOVNIK V","Vid","Vrhovnik","17",17,   30, 2783,Slovenia,SLO,34,34,"34","82.4","82.4", 82400,"114.0","+3:50",TRUE,FALSE,1518048017,"456920:14:19",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
1, 603077,"FLETCHER Taylor","FLETCHER T","Taylor","Fletcher","23",23,    5, 2209,United States,USA,35,35,"35","81.2","81.2", 81200,"117.0","+3:54",TRUE,FALSE,1518048023,"456920:21:04",217,"https://stream.nbcolympics.com/mens-nordic-combined-individual-large-hill"
