"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantLastName1","c_ParticipantLastName2","c_Bib1","c_Bib2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_TimeAbs1","n_TimeAbs2","n_TimeRel1","n_TimeRel2","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","c_ODF_IRM1","c_ODF_IRM2"
"1","1","597246","1027538","KOTNIK Gloria","DEKKER Michelle","KOTNIK G","DEKKER M","Gloria","Michelle","Kotnik","Dekker","14","13","2","1","30","1","2783","2201","Slovenia","Netherlands","SLO","NED","1","2","1","2","1","2","45.18","DNF","45.18","DNF","45180",NA,"0",NA,"TRUE","TRUE","FALSE","FALSE",NA,"DNF"
"1","1","915831","1252358","LEDECKA Ester","ULBING Daniela","LEDECKA E","ULBING D","Ester","Daniela","Ledecká","Ulbing","1","7","1","2","17","151","2240","2219","Czech Republic","Austria","CZE","AUT","1","2","1","2","1","2","43.74","DNF","43.74","DNF","43740",NA,"0",NA,"TRUE","TRUE","FALSE","FALSE",NA,"DNF"
