"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_PointsAbs","c_ResultInfo_1","c_ResultInfo_2","c_ResultInfo_3","b_Completed","b_Upcoming","n_BDF_VideoSessionID"
1, 981078,"PARROT Max","PARROT M","Maxence","Parrot","11", 3,159,2231,Canada,CAN, 1, 1,"1","90.96","90.96",90960,"79.86","90.96","36.56",TRUE,FALSE,1
1,1957526,"SU Yiming","SU Y","Yiming","Su","16",12, 26,2770,China,CHN, 2, 2,"2","88.70","88.70",88700,"78.38","88.70","66.58",TRUE,FALSE,1
1, 834210,"MCMORRIS Mark","MCMORRIS M","Mark","McMorris","3",11,159,2231,Canada,CAN, 3, 3,"3","88.53","88.53",88530,"76.98","80.85","88.53",TRUE,FALSE,1
1,1238960,"GERARD Red","GERARD R","Red","Gerard","1", 8,  5,2209,United States,USA, 4, 4,"4","83.25","83.25",83250,"83.25","71.86","28.65",TRUE,FALSE,1
1,1341350,"LAUZI Emiliano","LAUZI E","Emiliano","Lauzi","25", 6,  6,2210,Italy,ITA, 5, 5,"5","80.01","80.01",80010,"80.01","27.48","39.48",TRUE,FALSE,1
1,1359638,"CORNING Chris","CORNING C","Chris","Corning","6", 2,  5,2209,United States,USA, 6, 6,"6","65.11","65.11",65110,"31.58","20.78","65.11",TRUE,FALSE,1
1,1132578,"ROISLAND Mons","ROISLAND M","Mons","Røisland","7", 4,153,2221,Norway,NOR, 7, 7,"7","63.33","63.33",63330,"29.01","63.33","52.53",TRUE,FALSE,1
1,1367855,"HAMADA Kaito","HAMADA K","Kaito","Hamada","19", 1, 18,2241,Japan,JPN, 8, 8,"8","59.36","59.36",59360,"25.90","15.91","59.36",TRUE,FALSE,1
1, 905793,"TOUTANT Sebastien","TOUTANT S","Sébastien","Toutant","4", 5,159,2231,Canada,CAN, 9, 9,"9","54.00","54.00",54000,"52.63","30.40","54.00",TRUE,FALSE,1
1,1471133,"OTSUKA Takeru","OTSUKA T","Takeru","Otsuka","17", 7, 18,2241,Japan,JPN,10,10,"10","52.80","52.80",52800,"52.75","50.58","52.80",TRUE,FALSE,1
1, 723859,"SANDBECH Staale","SANDBECH S","Ståle","Sandbech","21", 9,153,2221,Norway,NOR,11,11,"11","39.66","39.66",39660,"29.05","27.43","39.66",TRUE,FALSE,1
1,1644468,"FITZSIMONS Sean","FITZSIMONS S","Sean","Fitzsimons","8",10,  5,2209,United States,USA,12,12,"12","29.61","29.61",29610,"29.48","29.61","26.61",TRUE,FALSE,1
