"n_ParticipantType1","n_ParticipantType2","n_ParticipantID1","n_ParticipantID2","c_Participant1","c_Participant2","c_ParticipantShort1","c_ParticipantShort2","c_ParticipantFirstName1","c_ParticipantFirstName2","c_ParticipantLastName1","c_ParticipantLastName2","c_Bib1","c_Bib2","n_StartOrder1","n_StartOrder2","NOC.n_ID1","NOC.n_ID2","NOC.n_GeoID1","NOC.n_GeoID2","NOC.c_Name1","NOC.c_Name2","NOC.c_Short1","NOC.c_Short2","n_Rank1","n_Rank2","n_RankSort1","n_RankSort2","c_Rank1","c_Rank2","c_Result1","c_Result2","c_ResultAbs1","c_ResultAbs2","n_TimeAbs1","n_TimeAbs2","n_TimeRel1","n_TimeRel2","c_ODF_QualificationMark1","c_ODF_QualificationMark2","b_Completed1","b_Completed2","b_Upcoming1","b_Upcoming2","c_ODF_IRM1","c_ODF_IRM2"
"1","1","922194","549918","MASTNAK Tim","WILD Vic","MASTNAK T","WILD V","Tim","Vic","Mastnak","Wild","4","9","1","2","30","23062","2783","73035","Slovenia","ROC","SLO","ROC","1","2","1","2","1","2","41.00","+0.48","41.00","41.48","41000","41480","0","480","Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,NA
"1","1","571851","333880","KARL Benjamin","FISCHNALLER Roland","KARL B","FISCHNALLER R","Benjamin","Roland","Karl","Fischnaller","2","6","1","2","151","6","2219","2210","Austria","Italy","AUT","ITA","1","2","1","2","1","2","40.51","DNF","40.51","DNF","40510",NA,"0",NA,"Q",NA,"TRUE","TRUE","FALSE","FALSE",NA,"DNF"
