"sport_id","phase_id","event_name"
218,1937888,"Men's 20km Individual"
218,1937884,"Men's 10km Sprint"
218,1937886,"Men's 12.5km Pursuit"
218,1937890,"Men's 15km Mass Start"
218,1937893,"Men's 4x7.5km Relay"
218,1937887,"Women's 15km Individual"
218,1937883,"Women's 7.5km Sprint"
218,1937885,"Women's 10km Pursuit"
218,1937889,"Women's 12.5km Mass Start"
218,1937892,"Women's 4x6km Relay"
218,1937891,"Mixed 4x6km Relay"
