"Event","MatchID"
"Men's Big Air",1939309
"Men's Halfpipe",1939303
"Men's Parallel Giant Slalom",1939301
"Men's Slopestyle",1939307
"Men's Snowboard Cross",1939305
"Mixed Team Snowboard Cross",1939311
"Women's Big Air",1939310
"Women's Halfpipe",1939304
"Women's Parallel Giant Slalom",1939302
"Women's Slopestyle",1939308
"Women's Snowboard Cross",1939306
