"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"13","Moeko","Fujimoto","JPN","F",0,0,0,0,0,0,0,"0:00",0,0,0
"27","Remi","Koyama","JPN","F",0,0,0,0,0,0,0,"12:23",0,0,0
"21","Hanae","Kubo","JPN","F",0,1,1,0,1,2,2,"13:02",0,0,0.8
"11","Mei","Miura","JPN","F",0,0,0,0,0,0,0,"0:00",0,0,0
"12","Chiho","Osawa","JPN","F",0,0,0,0,0,1,2,"18:13",0,0,-0.2
"19","Chika","Otaki","JPN","F",0,0,0,0,0,1,0,"5:20",0,0,0.1
"16","Akane","Shiga","JPN","F",0,0,0,0,0,4,0,"26:06",0,0,0.4
"22","Miho","Shishiuchi","JPN","F",0,0,0,0,0,0,0,"0:00",0,0,0
"18","Suzuka","Taka","JPN","F",0,0,0,0,0,3,0,"17:24",5,4,0.41
"14","Haruka","Toko","JPN","F",2,0,0,0,2,5,0,"26:34",14,9,3.05
"15","Rui","Ukita","JPN","F",0,0,0,0,0,0,0,"26:28",0,0,0
"23","Hikaru","Yamashita","JPN","F",0,0,0,0,0,1,0,"16:17",0,0,0.1
"10","Haruna","Yoneyama","JPN","F",0,0,0,0,0,1,0,"20:38",7,9,-0.12
"8","Akane","Hosoyamada","JPN","D",0,0,0,0,0,2,0,"23:48",0,0,0.2
"7","Yukiko","Kawashima","JPN","D",0,0,0,0,0,0,0,"6:21",0,0,0
"2","Shiori","Koike","JPN","D",0,0,0,0,0,1,0,"22:36",0,0,0.1
"3","Aoi","Shiga","JPN","D",0,1,1,0,1,3,0,"30:09",0,0,1.2
"6","Sena","Suzuki","JPN","D",0,0,0,0,0,0,0,"6:27",0,0,0
"4","Ayaka","Toko","JPN","D",0,2,0,2,2,0,2,"34:06",0,0,1.02
"28","Shiori","Yamashita","JPN","D",0,0,0,0,0,0,0,"0:00",0,0,0
"1","Nana","Fujimoto","JPN","G",0,0,0,0,0,0,0,"65:00",0,0,0
"30","Akane","Konishi","JPN","G",0,0,0,0,0,0,0,"0:00",0,0,0
"23","Katerina","Bukolská","CZE","F",0,0,0,0,0,1,0,"9:42",0,0,0.1
"12","Klára","Hymlárová","CZE","F",0,0,0,0,0,1,0,"3:53",1,1,0.1
"10","Denisa","Krížová","CZE","F",1,0,0,0,1,6,0,"21:03",0,0,1.6
"15","Aneta","Lédlová","CZE","F",0,0,0,0,0,2,0,"8:30",0,0,0.2
"9","Alena","Mills","CZE","F",0,0,0,0,0,1,0,"14:42",4,4,0.1
"19","Natálie","Mlýnková","CZE","F",1,0,0,0,1,2,0,"20:45",0,0,1.2
"16","Katerina","Mrázová","CZE","F",0,0,0,0,0,2,2,"19:43",6,7,-0.21
"28","Noemi","Neubauerová","CZE","F",0,0,0,0,0,2,2,"13:57",0,1,-0.21
"25","Kristýna","Pátková","CZE","F",0,0,0,0,0,0,0,"7:42",0,0,0
"18","Michaela","Pejzlová","CZE","F",0,0,0,0,0,0,0,"16:36",4,6,-0.22
"26","Vendula","Pribylová","CZE","F",0,0,0,0,0,1,0,"14:24",3,2,0.21
"7","Lenka","Serdar","CZE","F",0,0,0,0,0,3,0,"8:34",3,2,0.41
"21","Tereza","Vanišová","CZE","F",0,1,1,0,1,2,2,"23:55",1,3,0.58
"24","Sára","Cajanová","CZE","D",0,0,0,0,0,4,0,"20:52",0,0,0.4
"17","Pavlína","Horálková","CZE","D",0,0,0,0,0,4,0,"20:07",0,0,0.4
"5","Samantha","Kolowratová","CZE","D",0,0,0,0,0,0,0,"9:44",0,0,0
"14","Dominika","Lásková","CZE","D",0,0,0,0,0,2,2,"19:45",0,0,-0.1
"4","Daniela","Pejšová","CZE","D",0,0,0,0,0,1,0,"18:17",0,0,0.1
"27","Tereza","Radová","CZE","D",0,0,0,0,0,1,0,"7:13",0,0,0.1
"2","Aneta","Tejralová","CZE","D",0,0,0,0,0,3,2,"24:02",0,0,0
"29","Klára","Peslarová","CZE","G",0,0,0,0,0,0,0,"65:00",0,0,0
"1","Viktorie","Švejdová","CZE","G",0,0,0,0,0,0,0,"0:00",0,0,0
