"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"86","Mathias","Bromé","SWE","F",0,1,1,0,1,2,0,"16:37",0,0,1.1
"95","Jacob","de la Rose","SWE","F",0,0,0,0,0,1,0,"13:08",8,4,0.54
"18","Dennis","Everberg","SWE","F",0,0,0,0,0,0,0,"13:13",0,0,0
"12","Max","Friberg","SWE","F",0,0,0,0,0,1,0,"14:48",0,1,-0.01
"29","Pontus","Holmberg","SWE","F",0,1,1,0,1,0,0,"13:26",0,0,0.9
"59","Linus","Johansson","SWE","F",0,0,0,0,0,0,0,"0:00",0,0,0
"48","Carl","Klingberg","SWE","F",0,1,0,1,1,4,0,"16:28",0,0,1.06
"16","Marcus","Krüger","SWE","F",0,0,0,0,0,0,0,"14:11",12,6,0.66
"58","Anton","Lander","SWE","F",1,0,0,0,1,1,0,"17:24",11,12,0.99
"42","Joakim","Nordström","SWE","F",0,0,0,0,0,3,0,"14:41",0,0,0.3
"8","Fredrik","Olofsson","SWE","F",0,1,0,1,1,0,0,"14:52",1,0,0.77
"15","Gustav","Rydahl","SWE","F",0,0,0,0,0,0,0,"10:27",0,0,0
"23","Lucas","Wallmark","SWE","F",2,0,0,0,2,5,6,"14:32",3,4,1.49
"32","Lukas","Bengtsson","SWE","D",0,0,0,0,0,2,0,"20:56",0,0,0.2
"5","Oscar","Fantenberg","SWE","D",0,0,0,0,0,1,0,"20:40",0,0,0.1
"2","Christian","Folin","SWE","D",0,0,0,0,0,2,0,"19:51",0,0,0.2
"52","Philip","Holm","SWE","D",0,0,0,0,0,2,0,"19:45",0,0,0.2
"33","Linus","Hultström","SWE","D",0,0,0,0,0,0,0,"0:00",0,0,0
"64","Jonathan","Pudas","SWE","D",0,1,0,1,1,0,0,"19:29",0,0,0.66
"7","Henrik","Tömmernes","SWE","D",0,1,1,0,1,2,0,"18:33",0,0,1.1
"35","Magnus","Hellberg","SWE","G",0,0,0,0,0,0,0,"0:00",0,0,0
"31","Lars","Johansson","SWE","G",0,0,0,0,0,0,0,"60:00",0,0,0
"18","Rodrigo","Abols","LAT","F",0,0,0,0,0,2,2,"19:31",11,12,-0.21
"95","Oskars","Batna","LAT","F",0,0,0,0,0,0,0,"13:27",3,9,-0.66
"14","Rihards","Bukarts","LAT","F",0,0,0,0,0,1,0,"12:13",0,0,0.1
"10","Lauris","Darzinš","LAT","F",0,2,1,1,2,0,0,"15:42",0,0,1.56
"16","Kaspars","Daugavinš","LAT","F",0,0,0,0,0,1,2,"17:02",2,3,-0.31
"25","Andris","Džerinš","LAT","F",0,0,0,0,0,0,2,"10:47",4,3,-0.19
"17","Martinš","Dzierkals","LAT","F",0,0,0,0,0,3,0,"11:14",0,0,0.3
"69","Nikolajs","Jelisejevs","LAT","F",1,0,0,0,1,1,0,"14:10",0,0,1.1
"91","Ronalds","Keninš","LAT","F",0,0,0,0,0,1,0,"15:38",0,0,0.1
"9","Renars","Krastenbergs","LAT","F",1,0,0,0,1,1,0,"20:17",0,0,1.1
"87","Gints","Meija","LAT","F",0,0,0,0,0,0,0,"12:32",0,0,0
"73","Deniss","Smirnovs","LAT","F",0,0,0,0,0,1,2,"16:19",7,8,-0.31
"26","Uvis","Balinskis","LAT","D",0,2,1,1,2,2,0,"19:33",0,0,1.76
"27","Oskars","Cibulskis","LAT","D",0,0,0,0,0,1,0,"20:18",0,0,0.1
"29","Ralfs","Freibergs","LAT","D",0,0,0,0,0,0,2,"12:20",0,0,-0.3
"72","Janis","Jaks","LAT","D",0,0,0,0,0,2,0,"22:59",0,0,0.2
"55","Roberts","Mamcics","LAT","D",0,0,0,0,0,1,0,"16:37",0,0,0.1
"24","Patriks","Ozols","LAT","D",0,0,0,0,0,0,0,"2:42",0,0,0
"48","Nauris","Sejejs","LAT","D",0,0,0,0,0,0,0,"1:18",0,0,0
"77","Kristaps","Zile","LAT","D",0,0,0,0,0,0,0,"18:14",0,0,0
"98","Janis","Kalninš","LAT","G",0,0,0,0,0,0,0,"0:00",0,0,0
"74","Ivars","Punnenovs","LAT","G",0,0,0,0,0,0,0,"58:36",0,0,0
