"No","First_Name","Last_Name","Tm","Pos","G","A","A1","A2","PTS","SOG","PIM","TOI","FOW","FOL","GS"
"86","Mathias","Bromé","SWE","F",0,1,0,1,1,1,0,"12:59",0,0,0.76
"95","Jacob","de la Rose","SWE","F",0,0,0,0,0,3,0,"14:24",2,3,0.19
"18","Dennis","Everberg","SWE","F",0,0,0,0,0,0,0,"12:09",0,0,0
"12","Max","Friberg","SWE","F",1,1,0,1,2,2,0,"13:09",1,1,1.86
"29","Pontus","Holmberg","SWE","F",0,0,0,0,0,0,0,"9:24",0,0,0
"59","Linus","Johansson","SWE","F",0,0,0,0,0,1,0,"6:22",2,0,0.32
"48","Carl","Klingberg","SWE","F",1,0,0,0,1,6,0,"17:39",0,0,1.6
"16","Marcus","Krüger","SWE","F",0,0,0,0,0,1,0,"13:12",9,2,0.87
"58","Anton","Lander","SWE","F",0,1,1,0,1,3,0,"19:34",12,11,1.31
"42","Joakim","Nordström","SWE","F",1,1,0,1,2,1,4,"12:24",0,0,1.16
"8","Fredrik","Olofsson","SWE","F",0,0,0,0,0,1,0,"11:58",0,1,-0.01
"15","Gustav","Rydahl","SWE","F",0,0,0,0,0,1,0,"7:14",1,0,0.21
"23","Lucas","Wallmark","SWE","F",1,0,0,0,1,2,2,"16:19",7,3,1.34
"32","Lukas","Bengtsson","SWE","D",0,1,1,0,1,1,0,"16:09",0,0,1
"5","Oscar","Fantenberg","SWE","D",0,0,0,0,0,3,0,"17:29",0,0,0.3
"2","Christian","Folin","SWE","D",0,0,0,0,0,1,0,"20:24",0,0,0.1
"52","Philip","Holm","SWE","D",0,1,1,0,1,0,2,"17:26",0,0,0.6
"81","Theodor","Lennström","SWE","D",0,0,0,0,0,0,2,"8:13",0,0,-0.3
"64","Jonathan","Pudas","SWE","D",0,1,1,0,1,1,2,"18:53",0,0,0.7
"7","Henrik","Tömmernes","SWE","D",0,1,0,1,1,1,0,"20:36",0,0,0.76
"35","Magnus","Hellberg","SWE","G",0,0,0,0,0,0,0,"60:00",0,0,0
"31","Lars","Johansson","SWE","G",0,0,0,0,0,0,0,"0:00",0,0,0
"34","Peter","Cehlárik","SVK","F",0,0,0,0,0,4,0,"21:14",0,0,0.4
"56","Marko","Dano","SVK","F",0,0,0,0,0,0,0,"0",0,0,0
"89","Adrián","Holešinský","SVK","F",0,0,0,0,0,0,0,"11:10",0,1,-0.11
"27","Marek","Hrivík","SVK","F",0,0,0,0,0,4,2,"20:55",12,11,0.21
"79","Libor","Hudácek","SVK","F",0,0,0,0,0,5,0,"13:55",1,3,0.28
"13","Tomáš","Jurco","SVK","F",0,0,0,0,0,4,0,"17:56",0,0,0.4
"12","Miloš","Kelemen","SVK","F",0,0,0,0,0,2,2,"10:08",0,0,-0.1
"19","Michal","Krištof","SVK","F",0,0,0,0,0,1,0,"17:18",3,6,-0.23
"88","Kristián","Pospíšil","SVK","F",0,0,0,0,0,0,0,"1:37",0,0,0
"87","Pavol","Regenda","SVK","F",0,0,0,0,0,1,4,"11:48",0,0,-0.5
"40","Miloš","Roman","SVK","F",0,0,0,0,0,1,0,"13:32",5,9,-0.34
"20","Juraj","Slafkovský","SVK","F",1,0,0,0,1,5,0,"13:39",0,0,1.5
"49","Samuel","Takác","SVK","F",0,0,0,0,0,0,0,"10:14",0,1,-0.11
"25","Peter","Zuzin","SVK","F",0,0,0,0,0,2,0,"13:53",0,3,-0.13
"65","Michal","Cajkovský","SVK","D",0,0,0,0,0,1,0,"15:28",0,0,0.1
"14","Peter","Cerešnák","SVK","D",0,0,0,0,0,3,0,"19:12",0,0,0.3
"28","Martin","Gernát","SVK","D",0,0,0,0,0,4,0,"14:11",0,0,0.4
"22","Samuel","Knažko","SVK","D",0,0,0,0,0,1,0,"13:24",0,0,0.1
"52","Martin","Marincin","SVK","D",0,0,0,0,0,1,0,"22:28",0,0,0.1
"5","Šimon","Nemec","SVK","D",0,1,1,0,1,2,2,"15:56",0,0,0.8
"44","Mislav","Rosandic","SVK","D",0,0,0,0,0,0,2,"10:49",0,0,-0.3
"24","Patrik","Rybár","SVK","G",0,0,0,0,0,0,0,"38:55",0,0,0
"30","Matej","Tomek","SVK","G",0,0,0,0,0,0,0,"20:00",0,0,0
