"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1339635,"NEISE Hannah","NEISE H","Hannah","Neise","15",13,    2, 2206,Germany,GER, 1, 1,"1","1:02.19","1:02.19",62190,   0,"127.4",TRUE,FALSE,1518048013,"456819:29:17",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1, 994801,"BOS Kimberley","BOS K","Kimberley","Bos","4",11,    1, 2201,Netherlands,NED, 2, 2,"2","+0.03","1:02.22",62220,  30,"125.5",TRUE,FALSE,1518048011,"456819:25:18",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1125007,"NARRACOTT Jaclyn","NARRACOTT J","Jaclyn","Narracott","18",19,  157, 2229,Australia,AUS, 3, 3,"3","+0.10","1:02.29",62290, 100,"125.7",TRUE,FALSE,1518048019,"456819:44:47",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1, 767518,"HERMANN Tina","HERMANN T","Tina","Hermann","7",16,    2, 2206,Germany,GER, 3, 4,"3","+0.10","1:02.29",62290, 100,"126.3",TRUE,FALSE,1518048016,"456819:36:06",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,2067332,"ZHAO Dan","ZHAO D","Dan","Zhao","3",18,   26, 2770,China,CHN, 5, 5,"5","+0.21","1:02.40",62400, 210,"124.2",TRUE,FALSE,1518048018,"456819:42:42",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1233489,"FERNSTADT Anna","FERNSTADT A","Anna","Fernstädt","19",14,   17, 2240,Czech Republic,CZE, 6, 6,"6","+0.25","1:02.44",62440, 250,"126.8",TRUE,FALSE,1518048014,"456819:32:05",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1014597,"LOELLING Jacqueline","LOELLING J","Jacqueline","Lölling","14",17,    2, 2206,Germany,GER, 7, 7,"7","+0.26","1:02.45",62450, 260,"126.2",TRUE,FALSE,1518048017,"456819:39:49",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1419228,"UHLAENDER Katie","UHLAENDER K","Katie","Uhlaender","16",12,    5, 2209,United States,USA, 8, 8,"8","+0.27","1:02.46",62460, 270,"125.7",TRUE,FALSE,1518048012,"456819:26:55",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1,1945989,"LI Yuxi","LI Y","Yuxi","Li","21", 6,   26, 2770,China,CHN, 9, 9,"9","+0.43","1:02.62",62620, 430,"124.2",TRUE,FALSE,1518048006,"456819:14:21",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
1, 720042,"FLOCK Janine","FLOCK J","Janine","Flock","6", 7,  151, 2219,Austria,AUT,10,10,"10","+0.53","1:02.72",62720, 530,"123.9",TRUE,FALSE,1518048007,"456819:16:05",234,"https://stream.nbcolympics.com/womens-skeleton-heats-1-2"
