"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1339635,"NEISE Hannah","NEISE H","Hannah","Neise","15",20,    2, 2206,Germany,GER, 1, 1,"1","1:01.63","1:01.63",61630,   0,"128.5",TRUE,FALSE,1518048020,"456854:45:38",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1, 994801,"BOS Kimberley","BOS K","Kimberley","Bos","4",17,    1, 2201,Netherlands,NED, 2, 2,"2","+0.24","1:01.87",61870, 240,"127.3",TRUE,FALSE,1518048017,"456854:45:12",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1023342,"MARGAGLIO Valentina","MARGAGLIO V","Valentina","Margaglio","9", 5,    6, 2210,Italy,ITA, 3, 3,"3","+0.42","1:02.05",62050, 420,"125.2",TRUE,FALSE,1518048005,"456854:08:29",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1125007,"NARRACOTT Jaclyn","NARRACOTT J","Jaclyn","Narracott","18",19,  157, 2229,Australia,AUS, 4, 4,"4","+0.48","1:02.11",62110, 480,"126.5",TRUE,FALSE,1518048019,"456854:45:22",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1419228,"UHLAENDER Katie","UHLAENDER K","Katie","Uhlaender","16",14,    5, 2209,United States,USA, 5, 5,"5","+0.58","1:02.21",62210, 580,"127.2",TRUE,FALSE,1518048014,"456854:28:07",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1177266,"RAHNEVA Mirela","RAHNEVA M","Mirela","Rahneva","11",16,  159, 2231,Canada,CAN, 6, 6,"6","+0.63","1:02.26",62260, 630,"123.9",TRUE,FALSE,1518048016,"456854:33:01",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1233489,"FERNSTADT Anna","FERNSTADT A","Anna","Fernstädt","19",13,   17, 2240,Czech Republic,CZE, 6, 7,"6","+0.63","1:02.26",62260, 630,"126.8",TRUE,FALSE,1518048013,"456854:26:07",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1, 767518,"HERMANN Tina","HERMANN T","Tina","Hermann","7",18,    2, 2206,Germany,GER, 6, 8,"6","+0.63","1:02.26",62260, 630,"126.3",TRUE,FALSE,1518048018,"456854:38:44",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,2067332,"ZHAO Dan","ZHAO D","Dan","Zhao","3",12,   26, 2770,China,CHN, 9, 9,"9","+0.70","1:02.33",62330, 700,"125.5",TRUE,FALSE,1518048012,"456854:24:01",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1139502,"CHANNELL Jane","CHANNELL J","Jane","Channell","13", 3,  159, 2231,Canada,CAN,10,10,"10","+0.71","1:02.34",62340, 710,"124.4",TRUE,FALSE,1518048003,"456854:03:14",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
