"n_ParticipantType","n_ParticipantID","c_Participant","c_ParticipantShort","c_ParticipantFirstName","c_ParticipantLastName","c_Bib","n_StartOrder","NOC.n_ID","NOC.n_GeoID","NOC.c_Name","NOC.c_Short","n_Rank","n_RankSort","c_Rank","c_Result","c_ResultAbs","n_TimeAbs","n_TimeRel","c_ResultInfo_1","b_Completed","b_Upcoming","n_BDF_StartTime","c_BDF_StartTime","n_BDF_VideoSessionID","c_ClientStreamURL"
1,1339635,"NEISE Hannah","NEISE H","Hannah","Neise","15", 2,    2, 2206,Germany,GER, 1, 1,"1","1:01.44","1:01.44",61440,   0,"128.9",TRUE,FALSE,1518048002,"456853:16:14",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1177266,"RAHNEVA Mirela","RAHNEVA M","Mirela","Rahneva","11", 9,  159, 2231,Canada,CAN, 2, 2,"2","+0.28","1:01.72",61720, 280,"127.4",TRUE,FALSE,1518048009,"456852:43:22",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1125007,"NARRACOTT Jaclyn","NARRACOTT J","Jaclyn","Narracott","18", 1,  157, 2229,Australia,AUS, 3, 3,"3","+0.35","1:01.79",61790, 350,"126.8",TRUE,FALSE,1518048001,"456852:23:23",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1, 994801,"BOS Kimberley","BOS K","Kimberley","Bos","4", 6,    1, 2201,Netherlands,NED, 4, 4,"4","+0.42","1:01.86",61860, 420,"126.8",TRUE,FALSE,1518048006,"456854:45:12",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1, 767518,"HERMANN Tina","HERMANN T","Tina","Hermann","7", 3,    2, 2206,Germany,GER, 5, 5,"5","+0.46","1:01.90",61900, 460,"127.1",TRUE,FALSE,1518048003,"456852:28:58",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1419228,"UHLAENDER Katie","UHLAENDER K","Katie","Uhlaender","16", 8,    5, 2209,United States,USA, 6, 6,"6","+0.71","1:02.15",62150, 710,"127.8",TRUE,FALSE,1518048008,"456853:15:55",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1014597,"LOELLING Jacqueline","LOELLING J","Jacqueline","Lölling","14", 5,    2, 2206,Germany,GER, 7, 7,"7","+0.78","1:02.22",62220, 780,"125.4",TRUE,FALSE,1518048005,"456852:33:31",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1, 720042,"FLOCK Janine","FLOCK J","Janine","Flock","6",12,  151, 2219,Austria,AUT, 8, 8,"8","+0.79","1:02.23",62230, 790,"124.9",TRUE,FALSE,1518048012,"456852:49:29",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1139524,"KANAKINA Yulia","KANAKINA Y","Yulia","Kanakina","8",13,23062,73035,ROC,ROC, 9, 9,"9","+0.80","1:02.24",62240, 800,"124.6",TRUE,FALSE,1518048013,"456852:51:21",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
1,1233489,"FERNSTADT Anna","FERNSTADT A","Anna","Fernstädt","19", 7,   17, 2240,Czech Republic,CZE,10,10,"10","+0.83","1:02.27",62270, 830,"126.3",TRUE,FALSE,1518048007,"456852:38:04",236,"https://stream.nbcolympics.com/womens-skeleton-heats-3-4"
